"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",4.5,"D-1 & Only Martial Arts",FALSE,14,37.987215,-121.78432,"Martial Arts"
"2",4.5,"Champions Martial Arts Academy",FALSE,3,37.9853455,-121.8059678,"Martial Arts"
"3",4.5,"Guila Hawaiian Kajukenbo Kickboxing",FALSE,7,37.982507,-121.76504,"Kickboxing"
"4",5,"D-1 & Only Martial Arts Academy",FALSE,2,37.988901,-121.7845083,"Martial Arts"
"5",5,"Antioch Kajukenbo",FALSE,4,38.0156517028809,-121.812721252441,"Martial Arts"
"6",5,"Flowing Motion",FALSE,2,37.991481,-121.8233273,"Martial Arts |&| Tai Chi"
"7",5,"Givans Taekwondo",FALSE,3,37.9638868,-121.7670202,"Taekwondo"
"8",5,"Antioch Fight Club",FALSE,1,37.9980697631836,-121.788848876953,"Martial Arts"
"9",5,"Max Martial Arts",FALSE,5,37.9256733,-121.7534078,"Martial Arts"
"10",5,"Evolve Aikido And Movement Center",FALSE,1,38.0115696329742,-121.829565183964,"Boot Camps |&| Martial Arts |&| Tai Chi"
"11",4.5,"Big Break Jiu Jitsu",FALSE,11,38.0036643,-121.7327678,"Gyms |&| Martial Arts"
"12",4.5,"Ricardo Barros Brazilian Jiu-Jitsu",FALSE,14,37.962596,-121.728091,"Brazilian Jiu-jitsu"
"13",5,"East Bay Karate-Do",FALSE,2,37.9991755412221,-121.872979326587,"Karate"
"14",5,"Team Dumdumaya",FALSE,6,37.9983100891113,-121.714637756348,"Martial Arts"
"15",5,"Team Black",FALSE,1,38.0111387,-121.8389139,"Sports Clubs |&| Martial Arts"
"16",4.5,"Tiger-Rock Martial Arts Scholars",FALSE,7,37.92504,-121.70727,"Martial Arts"
"17",4,"Twin Tigers Academy of Self Defense",FALSE,7,37.924104,-121.683492,"Self-defense Classes |&| Karate |&| Chinese Martial Arts"
"18",4.5,"iLoveKickboxing - Brentwood",FALSE,13,37.9598850302114,-121.74762154313,"Kickboxing"
"19",4.5,"Crosley Gracie Jiu Jitsu Academy",FALSE,17,37.9215393066406,-121.69686126709,"Martial Arts"
"20",4,"Hillside Church",FALSE,4,37.991565,-121.804992,"Martial Arts |&| Religious Organizations"
"21",2.5,"Kang's Taekwondo Academy",FALSE,6,37.9622301,-121.7346083,"Taekwondo"
"22",5,"Oakley American Karate",FALSE,1,38.0046005249023,-121.740112304688,"Karate"
"23",5,"Tosh's Academy of Shorin-Ryu Karate",FALSE,5,37.9244728088379,-121.707183837891,"Karate"
"24",5,"One Tribe Martial Arts Academy",FALSE,9,37.9541212746644,-121.96704410846,"Kickboxing |&| Chinese Martial Arts"
"25",2,"Gracie Sports Center",FALSE,1,38.0052301,-121.7665283,"Martial Arts"
"26",5,"Ares Brazilian Jiu Jitsu Academy",FALSE,2,37.9357925220277,-121.699051177737,"Brazilian Jiu-jitsu"
"27",5,"American Karate",FALSE,3,37.926239,-121.6896528,"Karate"
"28",5,"Mires Martial Arts",FALSE,18,37.961227,-121.98147,"Martial Arts |&| Trainers"
"29",4.5,"Concord Kung Fu Academy",FALSE,12,37.950077,-121.957965,"Tai Chi |&| Qi Gong |&| Chinese Martial Arts"
"30",4.5,"Dogo Krav Maga",FALSE,15,37.96404,-121.99143,"Martial Arts |&| Boxing"
"31",5,"Tomizaki's Champions Kung Fu Institute",FALSE,22,37.9607501161217,-121.982713602483,"Martial Arts"
"32",5,"Touyou No Chie",FALSE,3,37.961227,-121.98147,"Martial Arts"
"33",5,"Master Bill Jones Tae Kwon Do Academy",FALSE,8,37.9787635803223,-121.99275970459,"Taekwondo"
"34",5,"Nunley's Karate DO",FALSE,1,38.02723,-121.88128,"Karate"
"35",5,"Delta Taekwon-Do",FALSE,1,37.8696708679199,-121.692276000977,"Taekwondo"
"36",5,"Brentwood Fitness Studio",FALSE,1,37.926329,-121.6910881,"Martial Arts |&| Trainers"
"37",3.5,"USKS Martial Arts Center",FALSE,11,37.9633265733719,-121.988261416554,"Karate |&| Trainers"
"38",4.5,"Orangetheory Fitness Brentwood-NorCal",FALSE,54,37.9437994,-121.7403444,"Trainers |&| Gyms |&| Boot Camps"
"39",5,"Impulse PDR",FALSE,2,38.351968,-121.935622,"Self-defense Classes"
"40",4.5,"Red Door Dance Studio",FALSE,11,37.9338455200195,-121.696434020996,"Performing Arts |&| Dance Studios"
