"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",5,"Modesto Shaolin Kung Fu",FALSE,2,37.6634223357923,-120.957918876846,"Tai Chi |&| Chinese Martial Arts"
"2",5,"Iron Dog Institute",FALSE,2,37.6746597290039,-120.94303894043,"Muay Thai |&| Brazilian Jiu-jitsu"
"3",5,"Ultimate Athlete Jiu-Jitsu",FALSE,7,37.7148401,-121.0031083,"Brazilian Jiu-jitsu"
"4",5,"Raya Goju Ryu Meibukan Karate Do",FALSE,3,37.66575,-120.97623,"Karate"
"5",5,"West Coast Martial Art & Kardio Kickbox",FALSE,5,37.6901512,-121.0135574,"Martial Arts"
"6",5,"Modesto Power",FALSE,9,37.67703,-120.97487,"Martial Arts |&| Gyms"
"7",5,"Ares Brazilian Jiu-Jitsu Academy",FALSE,7,37.6985107818566,-121.067218551472,"Brazilian Jiu-jitsu"
"8",5,"Moore's Karate 9th Street",FALSE,6,37.64715,-121.00994,"Karate |&| Kickboxing"
"9",5,"Red Dragon Shou Shu - Modesto",FALSE,1,37.6826079954638,-120.993475019932,"Self-defense Classes"
"10",5,"Ceres Karate and Krav Maga",FALSE,4,37.5996055603027,-120.95726776123,"Martial Arts"
"11",4.5,"Dynamic Mixed Martial Arts",FALSE,17,37.710679,-121.000819,"Fitness & Instruction"
"12",5,"Merafuentes Martial Arts Center",FALSE,2,37.68581,-120.995414,"Martial Arts"
"13",5,"Karate For Kids",FALSE,4,37.6644783,-120.9551697,"Martial Arts"
"14",4,"Moores Karate",FALSE,5,37.655393,-120.956478,"Karate"
"15",5,"Turlock Academy of Jiu Jitsu",FALSE,5,37.50695,-120.866138,"Martial Arts"
"16",4.5,"Vanbelle's Ata Black Belt Academy",FALSE,5,37.6988647188241,-121.048129859078,"Martial Arts |&| Kids Activities"
"17",5,"Robert Taylor's Shudo-Kan Karate",FALSE,1,37.647227,-121.031991,"Karate"
"18",5,"Hott Striker Kickboxing",FALSE,4,37.71248,-120.9988067,"Kickboxing"
"19",5,"Oakdale Mixed Martial Arts Academy",FALSE,8,37.7663497924805,-120.849517822266,"Martial Arts"
"20",5,"Blessner's Tae Kwon DO",FALSE,4,37.73962,-121.1262,"Taekwondo"
"21",1,"Personal Protection Institute",FALSE,1,37.705059,-120.999138,"Martial Arts |&| Trainers"
"22",4,"GymStars Modesto",FALSE,21,37.71341,-121.0014,"Martial Arts |&| Gymnastics |&| Kids Activities"
"23",5,"Moore's Shou'shu'studios",FALSE,2,37.5006649,-120.8527965,"Martial Arts"
"24",2.5,"Ata Black Belt Academy",FALSE,3,37.5134561,-120.8491049,"Martial Arts"
"25",5,"Academy of Kickboxing",FALSE,1,37.4918785095215,-120.848625183105,"Kickboxing"
"26",5,"Dragon Sports",FALSE,1,37.51289,-120.84935,"Paintball |&| Airsoft |&| Martial Arts"
