"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",5,"Tokon Martial Arts",FALSE,9,38.649927,-121.503275,"Martial Arts"
"2",4.5,"Chong's Wing Chun & Bak Mei Kung Fu Association",FALSE,8,38.4973398,-121.5102648,"Chinese Martial Arts"
"3",5,"Jaguar Muay Thai",FALSE,5,38.6391549,-121.4972996,"Muay Thai |&| Kickboxing |&| Self-defense Classes"
"4",5,"Legacy Muay Thai and Fitness",FALSE,7,38.550825,-121.417757,"Muay Thai |&| Boxing"
"5",4.5,"KSMY Martial Arts",FALSE,18,38.5182604,-121.5002081,"Martial Arts"
"6",5,"Yemaso Brazilian Jiu Jitsu",FALSE,19,38.546617,-121.4276951,"Martial Arts"
"7",4.5,"King Krav Maga & Fitness",FALSE,16,38.5995941,-121.443497,"Martial Arts |&| Boot Camps |&| Gyms"
"8",5,"Zen Martial Arts Center",FALSE,10,38.567419,-121.443112,"Martial Arts"
"9",5,"Shaolin Temple Kungfu Zen Academy",FALSE,10,38.4392051696777,-121.418983459473,"Chinese Martial Arts"
"10",5,"Moore's Martial Arts of Sacramento",FALSE,9,38.5305035423845,-121.444980843131,"Martial Arts"
"11",4.5,"Dragon Fire Martial Arts",FALSE,11,38.557725,-121.4366235,"Martial Arts"
"12",4.5,"Ralph Gracie Jiu Jitsu",FALSE,21,38.6420021057129,-121.507911682129,"Brazilian Jiu-jitsu"
"13",5,"Martial Arts Training Club",FALSE,6,38.5173873901367,-121.438140869141,"Martial Arts"
"14",5,"Red Dragon Martial Arts",FALSE,6,38.5709117,-121.3416168,"Martial Arts"
"15",4.5,"iYa Taekwondo",FALSE,10,38.4919083209415,-121.520467025039,"Taekwondo"
"16",5,"Werneck's Brazilian Jiu-Jitsu",FALSE,25,38.65697,-121.35203,"Brazilian Jiu-jitsu"
"17",4.5,"Kovar's Satori Academy of Martial Arts",FALSE,20,38.64806,-121.51029,"Martial Arts"
"18",4.5,"Kovar's Satori Academy of Martial Arts",FALSE,11,38.5099797,-121.542457,"Martial Arts"
"19",5,"Eagle Claw Academy of Sacramento",FALSE,4,38.55338,-121.48262,"Martial Arts"
"20",5,"Lee's Korean Martial Arts",FALSE,4,38.5825711,-121.3100249,"Self-defense Classes |&| Taekwondo"
"21",5,"Sacramento Jiu Jitsu Academy",FALSE,7,38.5390224,-121.4867298,"Brazilian Jiu-jitsu"
"22",5,"Dragon Fire Martial Arts",FALSE,1,38.6189224,-121.4980653,"Martial Arts"
"23",5,"Allied Capoeira League",FALSE,4,38.609645,-121.367538,"Martial Arts |&| Kids Activities"
"24",5,"Capital City Judo",FALSE,4,38.5390224,-121.4867298,"Martial Arts"
"25",5,"Title Boxing Club",FALSE,23,38.5691261,-121.488932,"Boxing |&| Kickboxing"
"26",4,"Wing Chun Kung Fu",FALSE,1,38.6736070364714,-121.33098743856,"Karate |&| Chinese Martial Arts"
"27",5,"ATA Martial Arts",FALSE,9,38.5398419,-121.5495051,"Martial Arts"
"28",4.5,"Team Andre Cia Paulista Jiu Jitsu",FALSE,11,38.60983,-121.36824,"Martial Arts"
"29",4.5,"Aikido Center Sacramento",FALSE,3,38.5605177,-121.4851556,"Martial Arts"
"30",4,"Eastern Ways Martial Arts",FALSE,11,38.6631287791158,-121.307172775269,"Martial Arts |&| Tai Chi"
"31",4.5,"Western Martial Arts Academy Wmaa",FALSE,5,38.5073450506592,-121.505005504946,"Martial Arts"
"32",5,"Paratus",FALSE,4,38.5736869827466,-121.302806577124,"Brazilian Jiu-jitsu |&| Self-defense Classes"
"33",5,"Bruddas Brazilian Jiu-Jitsu",FALSE,6,38.5626792907715,-121.358154296875,"Brazilian Jiu-jitsu"
"34",5,"Two Rivers Budo",FALSE,1,38.613384,-121.401047,"Martial Arts"
"35",5,"Yaw-Yan ArDigma Sacramento",FALSE,14,38.5915947,-121.2981949,"Martial Arts"
"36",4.5,"UFC GYM Sacramento",FALSE,15,38.458504,-121.415678,"Gyms |&| Trainers |&| Boxing"
"37",4,"Filipino Martial Arts Academy",FALSE,1,38.6552351,-121.468,"Martial Arts"
"38",4,"Kang's United Arts College",FALSE,7,38.56556,-121.49035,"Martial Arts"
"39",5,"Honor Kung Fu Academy",FALSE,3,38.50145,-121.43031,"Tai Chi |&| Qi Gong |&| Self-defense Classes"
"40",4,"Sacramento Judo Club",FALSE,8,38.5249681,-121.475799,"Martial Arts"
"41",4.5,"Sacramento Pipeworks",FALSE,169,38.5882874,-121.4809723,"Gyms |&| Rock Climbing |&| Brazilian Jiu-jitsu"
"42",5,"Seidokan Danzan Ryu",FALSE,1,38.5403366088867,-121.445045471191,"Martial Arts"
"43",5,"Robinson's Taekwondo",FALSE,3,38.496178,-121.477686,"Taekwondo"
"44",5,"East Sac BJJ",FALSE,1,38.557725,-121.4366235,"Brazilian Jiu-jitsu"
"45",4,"Robinson's Taekwondo",FALSE,4,38.6179532,-121.3970748,"Taekwondo"
"46",4.5,"Elk Grove Muay Thai Academy",FALSE,9,38.42856,-121.46428,"Muay Thai |&| Kickboxing |&| Self-defense Classes"
"47",5,"Kang's ATA Self Defense",FALSE,7,38.3936972,-121.4496296,"Self-defense Classes |&| Karate |&| Taekwondo"
"48",5,"Cerezo's Martial Arts",FALSE,1,38.4951936,-121.4342095,"Martial Arts"
"49",5,"Sacramento Uechi Ryu Karate",FALSE,1,38.55411,-121.39905,"Martial Arts"
"50",5,"Waza Brazilian Jiu Jitsu",FALSE,19,38.426604,-121.468946,"Martial Arts"
