"","businesses.rating","businesses.name","businesses.is_closed","businesses.review_count","latitude","longitude","arts"
"1",5,"Gracie Barra Yuba City",FALSE,4,39.13962,-121.65226,"Brazilian Jiu-jitsu |&| Self-defense Classes"
"2",5,"Instinctive Combat Arts",FALSE,6,39.13952,-121.61166,"Self-defense Classes |&| Karate"
"3",5,"Filipino Martial Arts Academy of Yuba City",FALSE,2,39.1359013,-121.6155251,"Martial Arts"
"4",5,"Empire Brazilian Jiu Jitsu",FALSE,3,39.1305342,-121.6334051,"Martial Arts"
"5",5,"Yuba City Kuk Sool Won",FALSE,3,39.13739,-121.608764,"Martial Arts"
"6",3,"Han Mi Tae Kwon Do Karate Studio",FALSE,2,39.13994,-121.58936,"Karate |&| Taekwondo"
"7",5,"Thao's Wing Chun Kung Fu Academy",FALSE,1,39.1488535236583,-121.583285838552,"Chinese Martial Arts |&| Self-defense Classes"
"8",2,"Miladi Karate",FALSE,3,39.13824,-121.650901,"Karate"
"9",4,"Training Zone",FALSE,37,39.13994,-121.58936,"Gyms |&| Nutritionists |&| Trainers"
"10",4.5,"Warfit Gym",FALSE,8,39.1219363685677,-121.566600869203,"Gyms"
